mcc,short_name,description,unaltered_description
0742,Veterinary Services,Licensed practitioners primarily engaged in the practice of veterinary medicine dentistry or surgery for all types of animals such as pets for example dogs cats fish livestock and other farm animals for example cattle horses sheep hogs goats poultry bees and exotic animals,"Licensed practitioners primarily engaged in the practice of veterinary medicine, dentistry, or surgery for all types of animals; such as pets (for example, dogs, cats, fish), livestock, and other farm animals (for example, cattle, horses, sheep, hogs, goats, poultry, bees), and exotic animals."
0763,Agricultural Cooperatives,Associations and cooperatives that provide farm management services or assistance in farming operations Examples of such services include financial assistance management or complete maintenance of crops soil preparation planting and cultivating aerial dusting and spraying disease and insect control weed control and the harvesting of crops For merchants that provide farm product warehousing and storage use   ,"Associations and cooperatives that provide farm management services or assistance in farming operations. Examples of such services include financial assistance, management, or complete maintenance of crops, soil preparation, planting and cultivating, aerial dusting and spraying, disease and insect control, weed control, and the harvesting of crops. For merchants that provide farm product warehousing and storage, use MCC 4225. 38"
0780,Horticultural and Landscaping Services,Landscape architects and other providers of landscape planning and design services Also merchants that offer a variety of lawn and garden services such as planting fertilizing mowing mulching seeding spraying and sod laying,"Landscape architects and other providers of landscape planning and design services. Also, merchants that offer a variety of lawn and garden services such as planting, fertilizing, mowing, mulching, seeding, spraying, and sod laying."
1520,General Contractors—Residential and Commercial,General contractors primarily engaged in the construction of residential and commercial buildings Construction services may include new construction remodeling repair additions and alterations,"General contractors primarily engaged in the construction of residential and commercial buildings. Construction services may include new construction, remodeling, repair, additions, and alterations."
1711,"Air Conditioning, Heating, and Plumbing Contractors",Special trade contractors that work with heating plumbing and air- conditioning systems Examples of such services include air system balancing and testing drainage system installation furnace repair lawn sprinkler system installation refrigeration and freezer work sewer hookups and connections solar heating sprinkler system installation and water pump installation and servicing,"Special trade contractors that work with heating, plumbing, and air- conditioning systems. Examples of such services include air system balancing and testing, drainage system installation, furnace repair, lawn sprinkler system installation, refrigeration and freezer work, sewer hookups and connections, solar heating, sprinkler system installation, and water pump installation and servicing."
1731,Electrical Contractors,Special trade contractors that perform electrical work such as the installation of fire alarms sound equipment telecommunications equipment and telephones and telephone equipment ,"Special trade contractors that perform electrical work such as the installation of fire alarms, sound equipment, telecommunications equipment, and telephones and telephone equipment. 40"
1740,"Insulation, Masonry, Plastering, Stonework, and Tile Setting Contractors",Special trade contractors that perform masonry work stone setting and other stone work such as fireplace construction tile setting plain and ornamental plastering and insulation installation These merchants also may perform bricklaying ceramic and marble work mosaic work acoustical work and drywall construction,"Special trade contractors that perform masonry work, stone setting and other stone work such as fireplace construction, tile setting, plain and ornamental plastering, and insulation installation. These merchants also may perform bricklaying, ceramic and marble work, mosaic work, acoustical work, and drywall construction."
1750,Carpentry Contractors,Special trade contractors that perform carpentry work for construction projects such as cabinetwork framing trim and finish work and window and door installation,"Special trade contractors that perform carpentry work for construction projects such as cabinetwork, framing, trim and finish work, and window and door installation."
1761,"Roofing and Siding, Sheet Metal Work Contractors",Special trade contractors that install roofing siding and do sheet metal work including architectural sheet metal work ceilings and skylight installation duct and gutter installation and roof spraying painting or coating,"Special trade contractors that install roofing, siding and do sheet metal work, including architectural sheet metal work, ceilings and skylight installation, duct and gutter installation, and roof spraying, painting, or coating."
1771,Concrete Work Contractors,Special trade contractors that perform concrete cement or asphalt work construct private driveways and walks of all materials pour concrete for foundations perform grouting work and construct concrete patios and sidewalks,"Special trade contractors that perform concrete, cement or asphalt work, construct private driveways and walks of all materials, pour concrete for foundations, perform grouting work, and construct concrete patios and sidewalks."
1799,"Contractors, Special Trade—not elsewhere classified",Special trade contractors that perform construction work not elsewhere classified Examples include awning installation bathtub refinishing fence construction fire escape installation house moving home window replacement garage door installation floor covering installation ornamental metal work swimming pool construction glasswork well drilling wallpaper services waterproofing and construction welding,"Special trade contractors that perform construction work not elsewhere classified. Examples include awning installation, bathtub refinishing, fence construction, fire escape installation, house moving, home window replacement, garage door installation, floor covering installation, ornamental metal work, swimming pool construction, glasswork, well drilling, wallpaper services, waterproofing, and construction welding."
2741,Miscellaneous Publishing and Printing,Merchants engaged in wholesale printing publishing or bookbinding Examples of materials produced by such merchants include books periodicals magazines maps and atlases business newsletters directories sheet music paper patterns technical manuals and papers telephone directories and yearbooks For wholesale distributors of books pamphlets and educational materials use  ,"Merchants engaged in wholesale printing, publishing, or bookbinding. Examples of materials produced by such merchants include books, periodicals, magazines, maps and atlases, business newsletters, directories, sheet music, paper patterns, technical manuals and papers, telephone directories, and yearbooks. For wholesale distributors of books, pamphlets, and educational materials, use MCC 5192."
2791,"Typesetting, Plate Making, and Related Services",Merchants that perform wholesale typesetting for the printing trade and make plates for printing purposes Examples of such services include advertisement typesetting phototypesetting computer-controlled typesetting and color separations the production of positives and negatives from which offset lithographic plates are made and engraving or embossing for printing purposes such as engraving on wood rubber copper steel or photoengraving For merchants that primarily provide wholesale printing services use   ,"Merchants that perform wholesale typesetting for the printing trade and make plates for printing purposes. Examples of such services include advertisement typesetting, phototypesetting, computer-controlled typesetting and color separations; the production of positives and negatives from which offset lithographic plates are made; and engraving or embossing for printing purposes, such as engraving on wood, rubber, copper, steel, or photoengraving. For merchants that primarily provide wholesale printing services, use MCC 2741. 44"
2842,"Sanitation, Polishing, and Specialty Cleaning Preparations",Wholesale manufacturers of polishes cleaning solutions disinfectants hospital cleaning supplies and other sanitation preparations Products for sale may include non-personal deodorants dressings for fabricated leather and other materials wax removers degreasing solvents dry cleaning chemicals rust and stain removers and cleaning solutions for glass paint or wallpaper,"Wholesale manufacturers of polishes, cleaning solutions, disinfectants, hospital cleaning supplies, and other sanitation preparations. Products for sale may include non-personal deodorants, dressings for fabricated leather and other materials, wax removers, degreasing solvents, dry cleaning chemicals, rust and stain removers, and cleaning solutions for glass, paint, or wallpaper."
4011,Railroads—Freight,Railroads engaged in freight transport operations For railways that provide passenger transportation use  ,"Railroads engaged in freight transport operations. For railways that provide passenger transportation, use MCC 4112."
4111,"Transportation—Suburban and Local Commuter Passenger, including Ferries",Providers of local and suburban mass passenger transportation over regular routes and on regular schedules including railway commuter transportation For taxicabs and limousines use   for bus lines use  ,"Providers of local and suburban mass passenger transportation over regular routes and on regular schedules, including railway commuter transportation. For taxicabs and limousines, use MCC 4121; for bus lines, use MCC 4131."
4112,Passenger Railways,Railroads that primarily provide long-distance passenger transportation Such railroads may or may not include overnight accommodations on the train during long distance travel For railways that transport freight use   ,"Railroads that primarily provide long-distance passenger transportation. Such railroads may or may not include overnight accommodations on the train during long distance travel. For railways that transport freight, use MCC 4011. 50"
4119,Ambulance Services,Emergency transportation services with trained personnel that may or may not provide emergency medical treatment en route to a hospital or medical provider,Emergency transportation services with trained personnel that may or may not provide emergency medical treatment en route to a hospital or medical provider.
4121,Limousines and Taxicabs,Passenger automobile transportation services that do not operate on a regular schedule or an established route,Passenger automobile transportation services that do not operate on a regular schedule or an established route.
4131,Bus Lines,Passenger bus transportation services that operate on a regular schedule over predetermined routes For charter and tour bus operators use  ,"Passenger bus transportation services that operate on a regular schedule over predetermined routes. For charter and tour bus operators, use MCC 4722."
4214,"Motor Freight Carriers, Trucking—Local/Long Distance, Moving and Storage Companies, Local Delivery",Local or long distance trucking services that may or may not also provide storage services For household goods warehousing and storage without trucking services use   For couriers of parcels goods and packages use  ,"Local or long distance trucking services that may or may not also provide storage services. For household goods warehousing and storage without trucking services, use MCC 4225. For couriers of parcels, goods, and packages, use MCC 4215."
4215,"Courier Services—Air and Ground, Freight Forwarders",Merchants that deliver individually addressed letters parcels and packages excluding Postal Services—Government Only—  For merchants that provide trucking delivery of freight use  ,"Merchants that deliver individually addressed letters, parcels and packages (excluding Postal Services—Government Only—MCC 9402). For merchants that provide trucking delivery of freight, use MCC 4214."
